gt_duration_band,outcome,model,N,r2,standardized_betas,median_audio_duration_sec,median_normalized_gt_width,median_initial_width_gt_ratio
0-1s,final_width_gt_ratio,AUDIO_DURATION_ONLY,0,,"{""audio_duration_sec"": null}",,,
0-1s,final_width_gt_ratio,GT_ABSOLUTE_DURATION_ONLY,0,,"{""gt_duration_sec"": null}",,,
0-1s,final_width_gt_ratio,NORMALIZED_GT_WIDTH_ONLY,0,,"{""normalized_gt_width"": null}",,,
0-1s,final_width_gt_ratio,INITIAL_WIDTH_GT_ONLY,0,,"{""initial_width_gt_ratio_median"": null}",,,
0-1s,final_width_gt_ratio,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,0,,"{""audio_duration_sec"": null, ""initial_width_gt_ratio_median"": null}",,,
0-1s,final_width_gt_ratio,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,0,,"{""audio_duration_sec"": null, ""normalized_gt_width"": null}",,,
0-1s,short_failure_iou07,AUDIO_DURATION_ONLY,0,,"{""audio_duration_sec"": null}",,,
0-1s,short_failure_iou07,GT_ABSOLUTE_DURATION_ONLY,0,,"{""gt_duration_sec"": null}",,,
0-1s,short_failure_iou07,NORMALIZED_GT_WIDTH_ONLY,0,,"{""normalized_gt_width"": null}",,,
0-1s,short_failure_iou07,INITIAL_WIDTH_GT_ONLY,0,,"{""initial_width_gt_ratio_median"": null}",,,
0-1s,short_failure_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,0,,"{""audio_duration_sec"": null, ""initial_width_gt_ratio_median"": null}",,,
0-1s,short_failure_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,0,,"{""audio_duration_sec"": null, ""normalized_gt_width"": null}",,,
0-1s,r1_iou07,AUDIO_DURATION_ONLY,0,,"{""audio_duration_sec"": null}",,,
0-1s,r1_iou07,GT_ABSOLUTE_DURATION_ONLY,0,,"{""gt_duration_sec"": null}",,,
0-1s,r1_iou07,NORMALIZED_GT_WIDTH_ONLY,0,,"{""normalized_gt_width"": null}",,,
0-1s,r1_iou07,INITIAL_WIDTH_GT_ONLY,0,,"{""initial_width_gt_ratio_median"": null}",,,
0-1s,r1_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,0,,"{""audio_duration_sec"": null, ""initial_width_gt_ratio_median"": null}",,,
0-1s,r1_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,0,,"{""audio_duration_sec"": null, ""normalized_gt_width"": null}",,,
0-1s,oracle10_iou07,AUDIO_DURATION_ONLY,0,,"{""audio_duration_sec"": null}",,,
0-1s,oracle10_iou07,GT_ABSOLUTE_DURATION_ONLY,0,,"{""gt_duration_sec"": null}",,,
0-1s,oracle10_iou07,NORMALIZED_GT_WIDTH_ONLY,0,,"{""normalized_gt_width"": null}",,,
0-1s,oracle10_iou07,INITIAL_WIDTH_GT_ONLY,0,,"{""initial_width_gt_ratio_median"": null}",,,
0-1s,oracle10_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,0,,"{""audio_duration_sec"": null, ""initial_width_gt_ratio_median"": null}",,,
0-1s,oracle10_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,0,,"{""audio_duration_sec"": null, ""normalized_gt_width"": null}",,,
1-2s,final_width_gt_ratio,AUDIO_DURATION_ONLY,90,0.07736668203617825,"{""audio_duration_sec"": 0.2781486689455449}",213.0,0.004694835680751174,108.9795742242745
1-2s,final_width_gt_ratio,GT_ABSOLUTE_DURATION_ONLY,90,,"{""gt_duration_sec"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,final_width_gt_ratio,NORMALIZED_GT_WIDTH_ONLY,90,0.050008540872976126,"{""normalized_gt_width"": -0.22362589490704418}",213.0,0.004694835680751174,108.9795742242745
1-2s,final_width_gt_ratio,INITIAL_WIDTH_GT_ONLY,90,0.07736668203617825,"{""initial_width_gt_ratio_median"": 0.2781486689455449}",213.0,0.004694835680751174,108.9795742242745
1-2s,final_width_gt_ratio,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,90,0.07736668203617825,"{""audio_duration_sec"": 0.13907433447277245, ""initial_width_gt_ratio_median"": 0.1390743344727725}",213.0,0.004694835680751174,108.9795742242745
1-2s,final_width_gt_ratio,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,90,0.08433700678750733,"{""audio_duration_sec"": 0.47545694012402107, ""normalized_gt_width"": 0.21424490338574678}",213.0,0.004694835680751174,108.9795742242745
1-2s,short_failure_iou07,AUDIO_DURATION_ONLY,90,,"{""audio_duration_sec"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,short_failure_iou07,GT_ABSOLUTE_DURATION_ONLY,90,,"{""gt_duration_sec"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,short_failure_iou07,NORMALIZED_GT_WIDTH_ONLY,90,,"{""normalized_gt_width"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,short_failure_iou07,INITIAL_WIDTH_GT_ONLY,90,,"{""initial_width_gt_ratio_median"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,short_failure_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,90,,"{""audio_duration_sec"": null, ""initial_width_gt_ratio_median"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,short_failure_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,90,,"{""audio_duration_sec"": null, ""normalized_gt_width"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,r1_iou07,AUDIO_DURATION_ONLY,90,,"{""audio_duration_sec"": null}",213.0,0.004694835680751174,108.9795742242745
