qid,query,duration,vid,relevant_windows,gt_duration_sec,gt_union_duration_sec,gt_count,query_word_count,query_char_count,gt_duration_bin_fine,gt_duration_bin_broad,normalized_gt_width,r1_iou05,r1_iou07,oracle10_iou05,oracle10_iou07,final_width_sec,final_center_sec,center_error_sec,oracle10_best_iou,initial_width_norm_median,initial_width_sec_median,initial_width_gt_ratio_median,initial_width_gt_ratio_nearest_center,initial_nearest_center_error_sec,valid_tokens,gt_token_count,gt_token_fraction,best_gt_saliency,mean_gt_saliency,best_false_saliency,gt_vs_false_margin,gt_saliency_percentile,gt_saliency_rank,false_peaks_above_gt,false_peak_count,high_saliency_distractor_peak_count,nearby_best_saliency,gt_vs_nearby_margin,random_negative_best_mean,gt_vs_random_negative_margin,top1_gt_token,top3_gt_token,top5_gt_token,top10_gt_token,gt_token_center_sec,audio_duration_sec,qd_top1_center_hit_le_2s,short_failure_iou07,final_width_gt_ratio,qd_top1_center_sec,final_center_error_sec,audio_duration_group,audio_duration_group_threshold_sec,gt_count_bin,query_word_bin
--0w1YA1Hm4_1,A car horn blares,299,--0w1YA1Hm4,"[[27, 28], [289, 290], [291, 292]]",1.0,3.0,3,4,17,1-2s,0-2s,0.0033444816053511705,0.0,0.0,0.0,0.0,9.0,71.5,44.0,0.14285714285714285,0.5116411935411949,152.98071686881727,152.98071686881727,200.36831783073507,20.590282099957122,299.0,3.0,0.010033444816053512,-12.639703750610352,-12.95464038848877,-11.641727447509766,-0.9979763031005859,0.5819397993311036,126.0,125.0,90.0,23.0,-12.25436782836914,-0.38533592224121094,-12.40109414100647,-0.23860960960388233,0.0,0.0,0.0,0.0,202.83333333333334,299.0,0.0,1.0,9.0,71.5,44.0,longer_audio,213.0,3+,0-5w
--0w1YA1Hm4_2,A phone beeps as a call is made,299,--0w1YA1Hm4,"[[72, 76]]",4.0,4.0,1,8,31,3-5s,2-5s,0.013377926421404682,0.0,0.0,0.0,0.0,10.0,74.0,0.0,0.4,0.5116411935411949,152.98071686881727,38.24517921720432,62.88243852673372,6.839015754714438,299.0,4.0,0.013377926421404682,-12.263252258300781,-12.616204261779785,-11.681900024414062,-0.5813522338867188,0.9899665551839465,4.0,3.0,98.0,25.0,-12.609994888305664,0.3467426300048828,-12.673371381759644,0.4101191234588626,0.0,0.0,1.0,1.0,74.0,299.0,1.0,1.0,2.5,74.0,0.0,longer_audio,188.5,1,6-10w
--0w1YA1Hm4_3,A car door slams shut,299,--0w1YA1Hm4,"[[297, 298], [290, 291], [292, 294]]",2.0,4.0,3,5,21,2-3s,2-5s,0.006688963210702341,0.0,0.0,0.0,0.0,6.0,296.0,1.5,0.16666666666666666,0.5116411935411949,152.98071686881727,76.49035843440863,73.4081132155991,62.6672866245396,299.0,4.0,0.013377926421404682,-10.410983085632324,-11.514536142349243,-11.669532775878906,1.258549690246582,1.0,1.0,0.0,105.0,22.0,-11.669532775878906,1.258549690246582,-12.279677686691285,1.8686946010589605,1.0,1.0,1.0,1.0,293.5,299.0,1.0,1.0,3.0,296.0,1.5,longer_audio,188.5,3+,0-5w
-AheI8Epim4_1,A man sings as something gets struck,83,-AheI8Epim4,"[[70, 81]]",11.0,11.0,1,7,36,10-20s,10s+,0.13253012048192772,0.0,0.0,0.0,0.0,5.0,4.5,71.0,0.18181818181818182,0.5116411935411949,42.466219063919176,3.860565369447198,3.7050005453905297,12.255467524537742,83.0,11.0,0.13253012048192772,-13.312564849853516,-13.876208738847213,-13.439220428466797,0.12665557861328125,1.0,1.0,0.0,23.0,4.0,-13.931197166442871,0.6186323165893555,-13.650813484191895,0.33824863433837926,1.0,1.0,1.0,1.0,75.5,83.0,0.0,1.0,0.45454545454545453,4.5,71.0,not_short_primary,nan,1,6-10w
-AheI8Epim4_2,Something metallic gets struck,83,-AheI8Epim4,"[[2, 4], [22, 26], [31, 44], [58, 81], [10, 15], [53, 56]]",23.0,50.0,6,4,30,20s+,10s+,0.27710843373493976,1.0,0.0,1.0,0.0,8.0,11.0,1.5,0.6666666666666666,0.5116411935411949,42.466219063919176,1.8463573506051816,1.164706499901,0.4199393549425068,83.0,50.0,0.6024096385542169,-10.689711570739746,-12.007813873291015,-11.525541305541992,0.8358297348022461,1.0,1.0,0.0,8.0,0.0,-11.525541305541992,0.8358297348022461,-11.525541305541992,0.8358297348022461,1.0,1.0,1.0,1.0,48.28,83.0,1.0,1.0,0.34782608695652173,11.0,1.5,not_short_primary,nan,3+,0-5w
-CcGuq0yoKo_1,A boy talks amid noise as alarms sound,299,-CcGuq0yoKo,"[[249, 254], [287, 290]]",5.0,8.0,2,8,38,5-10s,5-10s,0.016722408026755852,0.0,0.0,0.0,0.0,14.0,241.0,10.5,0.0,0.5116411935411949,152.98071686881727,30.596143373763454,29.36324528623964,23.6672866245396,299.0,8.0,0.026755852842809364,-12.024237632751465,-12.151561856269836,-11.849724769592285,-0.1745128631591797,0.979933110367893,7.0,6.0,99.0,22.0,-12.061037063598633,0.03679943084716797,-12.111859550476074,0.08762191772460959,0.0,0.0,0.0,1.0,265.375,299.0,0.0,1.0,2.8,241.0,10.5,not_short_primary,nan,2,6-10w
-DmjkgWa-rw_1,Several bells chime together as background noise fills the space,158,-DmjkgWa-rw,"[[111, 158]]",47.0,47.0,1,10,64,20s+,10s+,0.2974683544303797,0.0,0.0,1.0,1.0,115.0,68.5,66.0,0.8775510204081632,0.5116411935411949,80.83930857950878,1.7199852889257188,1.650676992537488,14.106793600927276,158.0,47.0,0.2974683544303797,-11.96156120300293,-12.097849095121344,-11.876176834106445,-0.08538436889648438,0.8607594936708861,23.0,22.0,40.0,13.0,-11.966634750366211,0.00507354736328125,-11.88506802558899,-0.07649317741394057,0.0,0.0,0.0,0.0,134.5,158.0,0.0,1.0,2.4468085106382977,68.5,66.0,not_short_primary,nan,1,6-10w
-EaZ7EJJUl0_1,A metal object bumps into things,299,-EaZ7EJJUl0,"[[53, 65], [111, 112], [132, 134], [162, 170], [172, 207], [226, 230], [266, 268]]",35.0,64.0,7,6,32,20s+,10s+,0.11705685618729098,1.0,1.0,1.0,1.0,13.0,58.5,0.5,0.9230769230769231,0.5116411935411949,152.98071686881727,4.3708776248233505,4.194749326605663,0.16728662453959942,299.0,64.0,0.2140468227424749,-10.272104263305664,-12.218640714883804,-10.49221420288086,0.2201099395751953,1.0,1.0,0.0,73.0,17.0,-10.49221420288086,0.2201099395751953,-10.665793228149415,0.3936889648437507,1.0,1.0,1.0,1.0,163.9375,299.0,1.0,0.0,0.37142857142857144,58.5,0.5,not_short_primary,nan,3+,6-10w
-EaZ7EJJUl0_2,Something being stir-fried in oil,299,-EaZ7EJJUl0,"[[116, 300]]",184.0,184.0,1,5,33,20s+,10s+,0.6153846153846154,1.0,0.0,1.0,1.0,95.0,242.5,34.5,0.7379032258064516,0.5116411935411949,152.98071686881727,0.8314169395044416,0.7241157553695698,1.3967310839130391,299.0,183.0,0.6120401337792643,-11.13846206665039,-11.631090664472737,-11.682892799377441,0.5444307327270508,1.0,1.0,0.0,39.0,0.0,-11.727296829223633,0.5888347625732422,-11.682892799377441,0.5444307327270508,1.0,1.0,1.0,1.0,207.5,299.0,0.0,1.0,0.5163043478260869,242.5,34.5,not_short_primary,nan,1,0-5w
-FW109cbv0g_1,Someone sneezes,96,-FW109cbv0g,"[[5, 6], [15, 16], [43, 45], [50, 52], [61, 64], [74, 76], [93, 95], [28, 29], [36, 38]]",3.0,16.0,9,2,15,3-5s,2-5s,0.03125,0.0,0.0,0.0,0.0,4.0,6.0,0.5,0.4,0.5116411935411949,49.11755457995471,16.372518193318236,21.444100904961612,0.05964186757229584,96.0,16.0,0.16666666666666666,-10.800150871276855,-11.560774326324463,-11.156972885131836,0.35682201385498047,1.0,1.0,0.0,18.0,1.0,-11.156972885131836,0.35682201385498047,-11.491418895721436,0.6912680244445806,1.0,1.0,1.0,1.0,52.4375,96.0,1.0,1.0,1.3333333333333333,6.0,0.5,shorter_or_equal_audio,188.5,3+,0-5w
