qid,vid,duration_bin,gt_duration_sec,audio_duration_sec,hard_center_hit10_2s,random25_center_hit10_2s_mean,hard_minus_random_center,cohort,p3_location_failure,condition,active_layer,removed_token_count,full_center_hit10_2s,intervention_center_hit10_2s,intervention_minus_full_center_pp,intervention_oracle10_iou07,intervention_width_gt_ratio
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,1,1.0,1.0,0.0,0.0,9.0
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,1,1.0,1.0,0.0,0.0,9.0
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,1,1.0,1.0,0.0,0.0,9.0
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,1,1.0,1.0,0.0,0.0,9.0
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,3,1.0,1.0,0.0,0.0,2.75
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,3,1.0,1.0,0.0,0.0,2.0
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,3,1.0,1.0,0.0,0.0,2.75
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,3,1.0,1.0,0.0,0.0,2.75
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,4,1.0,1.0,0.0,0.0,3.0
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,4,1.0,1.0,0.0,0.0,3.0
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,4,1.0,1.0,0.0,0.0,3.0
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,4,1.0,1.0,0.0,0.0,3.0
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,1,1.0,1.0,0.0,0.0,1.3333333333333333
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,1,1.0,1.0,0.0,0.0,1.3333333333333333
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,1,1.0,1.0,0.0,0.0,1.3333333333333333
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,1,1.0,1.0,0.0,0.0,1.3333333333333333
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,1,1.0,1.0,0.0,0.0,1.0
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,1,1.0,1.0,0.0,0.0,1.0
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,1,1.0,1.0,0.0,0.0,1.0
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,1,1.0,1.0,0.0,0.0,1.0
