qid,duration_bin,cohort,condition,replicate,full_hit,intervention_hit,transition
--0w1YA1Hm4_1,0-2s,harmful,REMOVE_RANDOM,0,1,1,both_hit
--0w1YA1Hm4_1,0-2s,harmful,REMOVE_RANDOM,1,1,1,both_hit
--0w1YA1Hm4_1,0-2s,harmful,REMOVE_RANDOM,2,1,1,both_hit
--0w1YA1Hm4_1,0-2s,harmful,REMOVE_RANDOM,3,1,1,both_hit
--0w1YA1Hm4_1,0-2s,harmful,REMOVE_RANDOM,4,1,1,both_hit
--0w1YA1Hm4_1,0-2s,harmful,REMOVE_RANDOM,5,1,1,both_hit
--0w1YA1Hm4_1,0-2s,harmful,REMOVE_RANDOM,6,1,1,both_hit
--0w1YA1Hm4_1,0-2s,harmful,REMOVE_RANDOM,7,1,1,both_hit
--0w1YA1Hm4_1,0-2s,harmful,REMOVE_RANDOM,8,1,1,both_hit
--0w1YA1Hm4_1,0-2s,harmful,REMOVE_RANDOM,9,1,1,both_hit
--0w1YA1Hm4_1,0-2s,harmful,REMOVE_HARD,0,1,1,both_hit
--0w1YA1Hm4_2,2-5s,harmful,REMOVE_RANDOM,0,1,1,both_hit
--0w1YA1Hm4_2,2-5s,harmful,REMOVE_RANDOM,1,1,1,both_hit
--0w1YA1Hm4_2,2-5s,harmful,REMOVE_RANDOM,2,1,1,both_hit
--0w1YA1Hm4_2,2-5s,harmful,REMOVE_RANDOM,3,1,1,both_hit
--0w1YA1Hm4_2,2-5s,harmful,REMOVE_RANDOM,4,1,1,both_hit
--0w1YA1Hm4_2,2-5s,harmful,REMOVE_RANDOM,5,1,1,both_hit
--0w1YA1Hm4_2,2-5s,harmful,REMOVE_RANDOM,6,1,1,both_hit
--0w1YA1Hm4_2,2-5s,harmful,REMOVE_RANDOM,7,1,1,both_hit
--0w1YA1Hm4_2,2-5s,harmful,REMOVE_RANDOM,8,1,1,both_hit
--0w1YA1Hm4_2,2-5s,harmful,REMOVE_RANDOM,9,1,1,both_hit
--0w1YA1Hm4_2,2-5s,harmful,REMOVE_HARD,0,1,1,both_hit
--0w1YA1Hm4_3,2-5s,control,REMOVE_RANDOM,0,1,1,both_hit
--0w1YA1Hm4_3,2-5s,control,REMOVE_RANDOM,1,1,1,both_hit
--0w1YA1Hm4_3,2-5s,control,REMOVE_RANDOM,2,1,1,both_hit
--0w1YA1Hm4_3,2-5s,control,REMOVE_RANDOM,3,1,1,both_hit
--0w1YA1Hm4_3,2-5s,control,REMOVE_RANDOM,4,1,1,both_hit
--0w1YA1Hm4_3,2-5s,control,REMOVE_RANDOM,5,1,1,both_hit
--0w1YA1Hm4_3,2-5s,control,REMOVE_RANDOM,6,1,1,both_hit
--0w1YA1Hm4_3,2-5s,control,REMOVE_RANDOM,7,1,1,both_hit
--0w1YA1Hm4_3,2-5s,control,REMOVE_RANDOM,8,1,1,both_hit
--0w1YA1Hm4_3,2-5s,control,REMOVE_RANDOM,9,1,1,both_hit
--0w1YA1Hm4_3,2-5s,control,REMOVE_HARD,0,1,1,both_hit
-FW109cbv0g_1,2-5s,control,REMOVE_RANDOM,0,1,1,both_hit
