qid,vid,duration_bin,cohort,condition,replicate,layer,top_k,mean_gt_distance_sec,mean_hard_distance_sec,median_gt_distance_sec,median_hard_distance_sec,n_refs_closer_gt,n_refs_closer_hard,n_refs_tied,final_gt_center_density,final_hard_center_density,final_center_density_tolerance_sec,reference_centers_sec
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,harmful,FULL_ACCESS,0,1,10,79.20443077087403,103.04141998291016,82.12382888793945,106.7430648803711,5,5,0,0.1,0.0,2.0,"[80.8390121459961, 175.52439880371094, 108.85091400146484, 133.57757568359375, 142.96173095703125, 202.2532958984375, 48.09028244018555, 206.60325622558594, 227.8327178955078, 220.06153869628906]"
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,harmful,FULL_ACCESS,0,2,10,60.68476581573486,121.5895767211914,61.29337692260742,120.18030548095703,6,4,0,0.1,0.0,2.0,"[72.00593566894531, 186.2612762451172, 104.33013153076172, 125.5802993774414, 159.09933471679688, 211.6748504638672, 31.15989875793457, 243.74337768554688, 267.90509033203125, 296.455322265625]"
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,harmful,REMOVE_HARD,0,1,10,79.20443077087403,103.04141998291016,82.12382888793945,106.7430648803711,5,5,0,0.1,0.0,2.0,"[80.8390121459961, 175.52439880371094, 108.85091400146484, 133.57757568359375, 142.96173095703125, 202.2532958984375, 48.09028244018555, 206.60325622558594, 227.8327178955078, 220.06153869628906]"
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,harmful,REMOVE_HARD,0,2,10,60.81433792114258,121.711669921875,61.561004638671875,120.20679473876953,6,4,0,0.1,0.0,2.0,"[72.74229431152344, 186.26255798339844, 104.84066772460938, 125.61540222167969, 159.15103149414062, 211.6676788330078, 31.179054260253906, 243.71865844726562, 267.8657531738281, 296.431640625]"
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,harmful,REMOVE_RANDOM,0,1,10,79.20443077087403,103.04141998291016,82.12382888793945,106.7430648803711,5,5,0,0.1,0.0,2.0,"[80.8390121459961, 175.52439880371094, 108.85091400146484, 133.57757568359375, 142.96173095703125, 202.2532958984375, 48.09028244018555, 206.60325622558594, 227.8327178955078, 220.06153869628906]"
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,harmful,REMOVE_RANDOM,0,2,10,60.70327911376953,121.57490539550781,61.29454803466797,120.09195709228516,6,4,0,0.1,0.0,2.0,"[72.00438690185547, 186.11351013183594, 104.34046936035156, 125.59071350097656, 159.07040405273438, 211.67474365234375, 31.16040802001953, 243.75137329101562, 267.9084777832031, 296.455322265625]"
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,harmful,REMOVE_RANDOM,1,1,10,79.20443077087403,103.04141998291016,82.12382888793945,106.7430648803711,5,5,0,0.1,0.0,2.0,"[80.8390121459961, 175.52439880371094, 108.85091400146484, 133.57757568359375, 142.96173095703125, 202.2532958984375, 48.09028244018555, 206.60325622558594, 227.8327178955078, 220.06153869628906]"
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,harmful,REMOVE_RANDOM,1,2,10,60.65365104675293,121.59969329833984,61.25501251220703,120.2698974609375,6,4,0,0.1,0.0,2.0,"[71.95885467529297, 186.30191040039062, 104.23703002929688, 125.61016082763672, 159.23788452148438, 211.6749267578125, 31.135448455810547, 243.7270050048828, 267.9239807128906, 296.4607238769531]"
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,harmful,REMOVE_RANDOM,2,1,10,79.20443077087403,103.04141998291016,82.12382888793945,106.7430648803711,5,5,0,0.1,0.0,2.0,"[80.8390121459961, 175.52439880371094, 108.85091400146484, 133.57757568359375, 142.96173095703125, 202.2532958984375, 48.09028244018555, 206.60325622558594, 227.8327178955078, 220.06153869628906]"
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,harmful,REMOVE_RANDOM,2,2,10,60.68713874816895,121.60224914550781,61.30132293701172,120.20667266845703,6,4,0,0.1,0.0,2.0,"[72.06958770751953, 186.27268981933594, 104.36140441894531, 125.57110595703125, 159.14065551757812, 211.68368530273438, 31.162853240966797, 243.75875854492188, 267.88262939453125, 296.4448547363281]"
