qid,vid,duration_bin,gt_duration_sec,audio_duration_sec,hard_center_hit10_2s,random25_center_hit10_2s_mean,hard_minus_random_center,cohort,p3_location_failure,replicate,random_stratum,random_stratum_fallback,hard_region_token_count_removed,full_center_hit10_2s,remove_hard_center_hit10_2s,remove_random_center_hit10_2s,hard_minus_random_center_pp,full_oracle10_iou07,remove_hard_oracle10_iou07,remove_random_oracle10_iou07,hard_minus_random_oracle_pp,full_width_gt_ratio,remove_hard_width_gt_ratio,remove_random_width_gt_ratio
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,0,remote,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,1,remote,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,2,remote,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,3,remote,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,4,remote,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,5,remote,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,6,remote,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,7,remote,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,8,remote,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,9,remote,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,0,remote,0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,2.75,1.75
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,1,remote,0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,2.75,1.75
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,2,remote,0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,2.75,1.75
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,3,remote,0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,2.75,1.75
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,4,remote,0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,2.75,1.75
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,5,remote,0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,2.75,1.75
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,6,remote,0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,2.75,1.75
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,7,remote,0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,2.75,1.75
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,8,remote,0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,2.75,1.75
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,9,remote,0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,2.75,1.75
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,0,remote,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,1,remote,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,2,remote,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,3,remote,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,4,remote,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,5,remote,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,6,remote,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,7,remote,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,8,remote,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,9,remote,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,0,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,1,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,2,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,3,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,4,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,5,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,6,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,7,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,8,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,9,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,0,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,1,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,2,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,3,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,4,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,5,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,6,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,7,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,8,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,9,adjacent,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-100.0,1.0,1.0,1.0
-FW109cbv0g_4,-FW109cbv0g,2-5s,2.0,96.0,0.0,1.0,-1.0,harmful,0,0,remote,0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
-FW109cbv0g_4,-FW109cbv0g,2-5s,2.0,96.0,0.0,1.0,-1.0,harmful,0,1,remote,0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
-FW109cbv0g_4,-FW109cbv0g,2-5s,2.0,96.0,0.0,1.0,-1.0,harmful,0,2,remote,0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
-FW109cbv0g_4,-FW109cbv0g,2-5s,2.0,96.0,0.0,1.0,-1.0,harmful,0,3,remote,0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
-FW109cbv0g_4,-FW109cbv0g,2-5s,2.0,96.0,0.0,1.0,-1.0,harmful,0,4,remote,0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
