qid,duration_bin,audio_duration_sec,gt_duration_sec,full_final_width_gt_ratio,remove_hard_final_width_gt_ratio,remove_hard_abs_log_width_gt_ratio,remove_hard_oracle10_iou05,remove_hard_oracle10_iou07,remove_hard_r1_iou07
1FNJbN-eHY4_1,2-5s,177.0,4.0,1.75,2.25,0.8109302162163288,0.0,0.0,0.0
8o-Y4QP8LWs_2,2-5s,300.0,4.0,3.0,2.75,1.0116009116784799,0.0,0.0,0.0
BL8ksJ0sTXk_3,0-2s,299.0,1.0,10.0,10.0,2.302585092994046,0.0,0.0,0.0
CvNAwby6Xos_1,2-5s,299.0,4.0,2.0,2.0,0.6931471805599453,0.0,0.0,0.0
GGgQR7aIofY_3,2-5s,168.0,3.0,2.3333333333333335,1.6666666666666667,0.5108256237659907,1.0,0.0,0.0
Hdxfbpnd2-8_3,2-5s,299.0,2.0,3.5,2.0,0.6931471805599453,0.0,0.0,0.0
K-7Y8yhcUiw_3,2-5s,85.0,3.0,1.0,0.6666666666666666,0.40546510810816444,1.0,1.0,0.0
MkbP_8zJwXU_2,2-5s,99.0,2.0,2.5,3.5,1.252762968495368,0.0,0.0,0.0
Ni3dIj90Oa4_2,2-5s,299.0,3.0,4.333333333333333,4.0,1.3862943611198906,0.0,0.0,0.0
Rp4Ct_TQvAM_2,2-5s,299.0,2.0,6.0,5.0,1.6094379124341003,0.0,0.0,0.0
VZLZ08k3YeA_3,0-2s,142.0,1.0,3.0,3.0,1.0986122886681098,0.0,0.0,0.0
aMhu5eMQAsI_3,2-5s,170.0,3.0,3.0,2.0,0.6931471805599453,0.0,0.0,0.0
aZAXO2WZn84_5,0-2s,300.0,1.0,14.0,10.0,2.302585092994046,0.0,0.0,0.0
cPiSd5nJLrI_1,2-5s,60.0,2.0,7.0,4.0,1.3862943611198906,1.0,0.0,0.0
fK4QBQZ6i7w_1,2-5s,299.0,4.0,4.25,4.25,1.4469189829363254,0.0,0.0,0.0
gW7s3YAthpI_2,2-5s,299.0,3.0,4.333333333333333,5.0,1.6094379124341003,0.0,0.0,0.0
hmd6pa2e_rs_2,2-5s,242.0,2.0,7.0,5.5,1.7047480922384253,0.0,0.0,0.0
i6MQCm58zlY_3,2-5s,247.0,3.0,3.3333333333333335,3.0,1.0986122886681098,0.0,0.0,0.0
kXjzsroVTtw_1,0-2s,92.0,1.0,2.0,3.0,1.0986122886681098,0.0,0.0,0.0
lrKGCtSsAkA_3,0-2s,240.0,1.0,15.0,46.0,3.828641396489095,0.0,0.0,0.0
p9qRTh4BmSE_1,2-5s,128.0,2.0,3.5,4.0,1.3862943611198906,0.0,0.0,0.0
taYKM1OSTwE_2,0-2s,220.0,1.0,5.0,7.0,1.9459101490553132,0.0,0.0,0.0
uJzAf4PaExI_3,2-5s,299.0,4.0,3.25,3.75,1.3217558399823195,0.0,0.0,0.0
