top1_query_index,initial_gt_distance_sec,initial_hard_distance_sec,final_gt_distance_sec,final_hard_distance_sec,hard_distance_change_sec,gt_distance_change_sec,reference_attraction_flag,classification,reference_centers_sec,final_center_sec,final_width_gt_ratio,qid,vid,duration_bin,cohort,p3_location_failure,hard_peak_center_sec
7,53.339010179042816,28.339010179042816,44.5,19.5,-8.839010179042816,-8.839010179042816,True,begin_hard_and_remain,"[80.8390121459961, 72.00593566894531]",72.0,10.0,--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,harmful,0,52.5
2,146.0615410208702,77.43845897912979,220.5,3.0,-74.43845897912979,74.43845897912979,True,begin_hard_and_remain,"[220.06153869628906, 292.4451904296875]",294.5,1.75,--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,harmful,0,297.5
2,70.43845897912979,109.06154102087021,1.5,185.0,75.93845897912979,-68.93845897912979,False,approach_gt,"[220.06153869628906, 296.0770263671875]",296.0,3.0,--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,control,0,111.0
9,0.059641361236572266,1.0596413612365723,0.5,10.5,9.440358638763428,0.44035863876342773,False,approach_neither,"[15.440359115600586, 8.926047325134277]",6.0,1.3333333333333333,-FW109cbv0g_1,-FW109cbv0g,2-5s,control,0,16.5
7,4.454999923706055,1.4549999237060547,1.0,4.0,2.5450000762939453,-3.4549999237060547,False,approach_gt,"[25.954999923706055, 23.170156478881836]",20.5,1.0,-FW109cbv0g_3,-FW109cbv0g,2-5s,control,0,24.5
1,2.6122188568115234,27.887781143188477,6.5,22.0,-5.887781143188477,3.8877811431884766,False,approach_neither,"[42.887779235839844, 39.58799362182617]",37.0,2.0,-FW109cbv0g_4,-FW109cbv0g,2-5s,harmful,0,15.0
7,57.545000076293945,19.954999923706055,68.0,9.5,-10.454999923706055,10.454999923706055,True,begin_hard_and_remain,"[25.954999923706055, 16.935285568237305]",15.5,1.6666666666666667,-FW109cbv0g_5,-FW109cbv0g,2-5s,harmful,0,6.0
9,110.24887925386429,39.75112074613571,149.0,1.0,-38.75112074613571,38.75112074613571,True,begin_hard_and_remain,"[48.251121520996094, 14.507043838500977]",9.5,9.0,-NrFeH-kBSM_2,-NrFeH-kBSM,0-2s,control,0,8.5
9,151.7488792538643,43.25112074613571,189.0,6.0,-37.25112074613571,37.25112074613571,True,begin_hard_and_remain,"[48.251121520996094, 27.69631004333496]",11.0,2.5,-NrFeH-kBSM_4,-NrFeH-kBSM,2-5s,harmful,0,5.0
0,16.929729223251343,180.42972922325134,30.5,194.0,13.570270776748657,13.570270776748657,False,approach_neither,"[202.9297332763672, 223.51300048828125]",216.5,2.75,-mhFGevxLUg_3,-mhFGevxLUg,2-5s,control,1,22.5
9,14.038116410374641,20.53811641037464,8.0,1.5,-19.03811641037464,-6.038116410374641,True,begin_gt_move_hard,"[26.538116455078125, 7.5789055824279785]",4.5,7.0,-nQHwrRLfc0_2,-nQHwrRLfc0,0-2s,harmful,0,6.0
7,5.629166603088379,12.129166603088379,1.0,5.5,-6.629166603088379,-4.629166603088379,False,approach_gt,"[21.629165649414062, 15.925463676452637]",15.0,1.0,-oy0BkpMGAk_1,-oy0BkpMGAk,2-5s,control,0,9.5
3,14.041414260864258,34.45858573913574,3.5,45.0,10.541414260864258,-10.541414260864258,False,approach_gt,"[60.958587646484375, 72.83381652832031]",71.5,1.5,-oy0BkpMGAk_3,-oy0BkpMGAk,2-5s,control,1,26.5
9,49.752018079161644,17.247981920838356,68.5,1.5,-15.747981920838356,18.747981920838356,True,begin_hard_and_remain,"[20.747982025146484, 6.3965067863464355]",2.0,4.0,096oTVzc5Gs_4,096oTVzc5Gs,0-2s,control,0,3.5
9,25.66397589445114,11.663975894451141,2.0,12.0,0.33602410554885864,-23.66397589445114,False,approach_gt,"[27.663976669311523, 9.610668182373047]",4.0,2.0,0AsXkZkqelg_1,0AsXkZkqelg,2-5s,harmful,0,16.0
