qid,vid,duration_bin,cohort,p3_location_failure,hard_peak_start_sec,hard_peak_end_sec,hard_peak_center_sec,gt_duration_sec,window_length_sec,gt_window_center_sec,hard_window_center_sec,audio_path,status,blocked_reason,S_GT,S_HARD,S_GT_minus_S_HARD,comparison,native_pipeline
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,harmful,0,52.0,53.0,52.5,1.0,,,52.5,raw_audio/--0w1YA1Hm4.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,harmful,0,296.0,299.0,297.5,4.0,,,297.5,raw_audio/--0w1YA1Hm4.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,control,0,109.0,113.0,111.0,2.0,,,111.0,raw_audio/--0w1YA1Hm4.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
-FW109cbv0g_1,-FW109cbv0g,2-5s,control,0,16.0,17.0,16.5,3.0,,,16.5,raw_audio/-FW109cbv0g.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
-FW109cbv0g_3,-FW109cbv0g,2-5s,control,0,24.0,25.0,24.5,3.0,,,24.5,raw_audio/-FW109cbv0g.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
-FW109cbv0g_4,-FW109cbv0g,2-5s,harmful,0,14.0,16.0,15.0,2.0,,,15.0,raw_audio/-FW109cbv0g.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
-FW109cbv0g_5,-FW109cbv0g,2-5s,harmful,0,5.0,7.0,6.0,3.0,,,6.0,raw_audio/-FW109cbv0g.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
-NrFeH-kBSM_2,-NrFeH-kBSM,0-2s,control,0,7.0,10.0,8.5,1.0,,,8.5,raw_audio/-NrFeH-kBSM.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
-NrFeH-kBSM_4,-NrFeH-kBSM,2-5s,harmful,0,1.0,9.0,5.0,4.0,,,5.0,raw_audio/-NrFeH-kBSM.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
-mhFGevxLUg_3,-mhFGevxLUg,2-5s,control,1,21.0,24.0,22.5,4.0,,,22.5,raw_audio/-mhFGevxLUg.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
