qid,duration_bin,cohort,audio_duration_sec,gt_duration_sec,full_center_hit10_2s,hard25_center_hit10_2s,gt_only_center_hit10_2s,full_oracle10_iou07,hard25_oracle10_iou07,gt_only_oracle10_iou07,full_width_gt_ratio,hard25_width_gt_ratio,gt_only_width_gt_ratio,hard_minus_full_center_pp,hard_minus_full_oracle_pp,hard_minus_full_width_gt_ratio
--0w1YA1Hm4_1,0-2s,harmful,299.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,11.0,12.0,-100.0,0.0,2.0
--0w1YA1Hm4_2,2-5s,harmful,299.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,2.75,2.0,-100.0,0.0,0.25
--0w1YA1Hm4_3,2-5s,control,299.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,-1.0
-FW109cbv0g_1,2-5s,control,96.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.3333333333333333,2.0,2.0,0.0,0.0,0.6666666666666667
-FW109cbv0g_3,2-5s,control,96.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.6666666666666667,0.0,100.0,0.0
-FW109cbv0g_4,2-5s,harmful,96.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,-100.0,0.0,0.0
-FW109cbv0g_5,2-5s,harmful,96.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,-100.0,0.0,-0.3333333333333335
-NrFeH-kBSM_2,0-2s,control,300.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0,7.0,-100.0,0.0,21.0
-NrFeH-kBSM_4,2-5s,harmful,300.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,2.75,0.25,-100.0,0.0,0.25
-mhFGevxLUg_3,2-5s,control,300.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,3.0,0.75,0.0,0.0,0.25
-nQHwrRLfc0_2,0-2s,harmful,165.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,21.0,-100.0,0.0,2.0
-oy0BkpMGAk_1,2-5s,control,80.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.25,0.0,0.0,1.0
-oy0BkpMGAk_3,2-5s,control,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,-1.5
096oTVzc5Gs_4,0-2s,control,129.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,1.0,-100.0,0.0,1.0
0AsXkZkqelg_1,2-5s,harmful,172.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,29.75,-100.0,0.0,2.5
0AsXkZkqelg_2,2-5s,control,172.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.0,0.6666666666666666,0.0,0.0,-0.3333333333333335
0_K6OKtoBBU_1,2-5s,control,61.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,2.5,3.5,0.0,0.0,1.0
0_K6OKtoBBU_3,2-5s,control,61.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.5,0.5,5.0,0.0,0.0,-1.0
0a9wVat2PWk_2,2-5s,harmful,300.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,3.25,16.75,0.0,0.0,0.5
0a9wVat2PWk_3,2-5s,control,300.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,5.0,0.0,0.0,4.0
0a9wVat2PWk_4,2-5s,harmful,300.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.75,0.5,-100.0,0.0,1.75
0fMXnvD38zI_1,2-5s,control,300.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,11.0,31.0,0.0,0.0,4.5
0yETgW44MZU_2,2-5s,control,90.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,0.5,100.0,0.0,-1.0
14izd_i3ryE_3,2-5s,harmful,299.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,3.0
1FNJbN-eHY4_1,2-5s,harmful,177.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.75,2.25,18.25,0.0,0.0,0.5
1GgEpRZDWN0_1,2-5s,harmful,300.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.5,2.5,0.0,0.0,3.5
1IoHRTUp86c_3,2-5s,control,226.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,10.5,43.0,100.0,0.0,2.5
1Og2TJ3bXW0_1,2-5s,control,300.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,34.0,41.0,0.0,0.0,29.5
1Og2TJ3bXW0_2,2-5s,harmful,300.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,14.333333333333334,0.3333333333333333,0.0,0.0,12.666666666666668
1Og2TJ3bXW0_4,2-5s,control,300.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,5.5,7.0,0.0,0.0,2.0
1WTSW96XP6E_2,2-5s,harmful,300.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,0.5,0.0,0.0,-0.5
1slvoNgzBLE_2,2-5s,control,299.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,7.666666666666667,6.333333333333333,6.666666666666667,0.0,0.0,-1.333333333333334
1slvoNgzBLE_4,2-5s,control,299.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,4.666666666666667,5.0,2.0,100.0,0.0,0.33333333333333304
1vCYiVvZ7VE_1,2-5s,control,296.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.3333333333333335,2.3333333333333335,2.6666666666666665,100.0,0.0,-1.0
1vCYiVvZ7VE_2,2-5s,control,296.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.5,0.5,0.0,0.0,0.5
27HIamF8pKo_1,2-5s,control,140.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.3333333333333333,1.0,1.6666666666666667,0.0,-100.0,-0.33333333333333326
27HIamF8pKo_3,0-2s,harmful,140.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,8.0,-100.0,0.0,-9.0
2JutOgAnqWA_2,2-5s,control,214.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.5,1.5,0.0,0.0,6.5
2KEfkDO6hlA_1,2-5s,control,233.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.3333333333333333,100.0,0.0,1.0
2KR0C5ysO8o_1,2-5s,control,137.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,2.5,3.25,0.0,0.0,1.0
2KR0C5ysO8o_2,2-5s,control,137.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.5,5.5,6.5,0.0,0.0,3.0
2RjqBRzmxaM_3,2-5s,control,122.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.5,19.0,0.5,100.0,0.0,16.5
2RjqBRzmxaM_4,2-5s,control,122.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.5,1.5,0.5,0.0,0.0,0.0
2RjqBRzmxaM_5,2-5s,control,122.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,13.0,42.0,0.0,0.0,0.0
2a6GNu6uCDE_3,2-5s,control,299.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.0,0.3333333333333333,0.0,0.0,-0.3333333333333335
3RultJjvTWI_2,0-2s,harmful,299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,93.0,0.0,0.0,4.0
3VHpLxtd498_1,0-2s,control,242.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,33.0,18.0,0.0,0.0,19.0
3VHpLxtd498_3,0-2s,harmful,242.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.0,0.0,0.0,0.0
3VHpLxtd498_4,2-5s,harmful,242.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,4.666666666666667,15.666666666666666,-100.0,0.0,-0.6666666666666661
3qTL7QRk-tg_4,2-5s,control,189.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.3333333333333335,0.3333333333333333,0.0,0.0,0.3333333333333335
3rna9zo5ZOs_2,2-5s,control,68.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
3xDZ-kdGE3o_2,2-5s,control,65.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.3333333333333333,0.0,100.0,0.33333333333333337
473wBEwC35M_1,2-5s,harmful,300.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.5,68.5,0.0,0.0,6.5
4CAMv5nlr-0_1,2-5s,control,113.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.0,0.0,-1.0
4CAMv5nlr-0_2,2-5s,control,113.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.0,-100.0,-0.33333333333333337
4IeDBwyQ9ZQ_4,2-5s,control,300.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.6666666666666665,1.0,0.0,0.0,0.6666666666666665
4UPOUGVMlEs_3,2-5s,harmful,84.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,2.0,-100.0,0.0,-0.5
4_DjmCg8Ra8_1,0-2s,control,196.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,0.0,0.0,-6.0
4ftDFi4684Y_1,2-5s,control,115.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,8.5,100.0,0.0,1.0
