alpha,gt_bin,initial_center_condition,audio_group,audio_split_median_sec,N_queries,N_proposals,median_audio_duration_sec,median_final_width_gt_ratio,median_final_abs_log_width_gt_ratio,Oracle10_IoU>=0.5,Oracle10_IoU>=0.7,R1@0.7
0.5,0-2s,<= 1s,shorter_or_equal_audio,213.0,8,8,109.5,3.719066023826599,1.3131586576059675,0.25,0.125,0.125
0.5,0-2s,<= 1s,longer_audio,213.0,6,6,300.0,11.423848569393158,2.4273102549340644,0.0,0.0,0.0
0.5,0-2s,<= 2s,shorter_or_equal_audio,213.0,11,14,126.0,3.6446685642004013,1.2932521652368165,0.18181818181818182,0.09090909090909091,0.09090909090909091
0.5,0-2s,<= 2s,longer_audio,213.0,7,9,300.0,11.698217689990997,2.4594364960108757,0.0,0.0,0.0
0.75,0-2s,<= 1s,shorter_or_equal_audio,213.0,8,8,109.5,3.7990429401397705,1.3333208797808487,0.125,0.125,0.125
0.75,0-2s,<= 1s,longer_audio,213.0,6,6,300.0,12.945961765944958,2.560074885072937,0.0,0.0,0.0
0.75,0-2s,<= 2s,shorter_or_equal_audio,213.0,11,14,126.0,3.943344857543707,1.3719188786015328,0.09090909090909091,0.09090909090909091,0.09090909090909091
0.75,0-2s,<= 2s,longer_audio,213.0,7,9,300.0,12.228893861174583,2.5038015008969032,0.0,0.0,0.0
1.0,0-2s,<= 1s,shorter_or_equal_audio,213.0,8,8,109.5,4.547770231962204,1.5130661860829153,0.25,0.0,0.0
1.0,0-2s,<= 1s,longer_audio,213.0,6,6,300.0,12.121359631419182,2.494872379921979,0.0,0.0,0.0
1.0,0-2s,<= 2s,shorter_or_equal_audio,213.0,11,14,126.0,4.547770231962204,1.5130661860829153,0.18181818181818182,0.0,0.0
1.0,0-2s,<= 2s,longer_audio,213.0,7,9,300.0,11.952732503414154,2.480959913612062,0.0,0.0,0.0
1.5,0-2s,<= 1s,shorter_or_equal_audio,213.0,8,8,109.5,5.648375051096082,1.7281576425888172,0.125,0.125,0.0
1.5,0-2s,<= 1s,longer_audio,213.0,6,6,300.0,105.96038280427456,4.126699684501462,0.0,0.0,0.0
1.5,0-2s,<= 2s,shorter_or_equal_audio,213.0,11,14,126.0,7.943868640810251,2.0447170526375067,0.09090909090909091,0.09090909090909091,0.0
1.5,0-2s,<= 2s,longer_audio,213.0,7,9,300.0,12.986910715699196,2.563941982206284,0.0,0.0,0.0
0.5,2-5s,<= 1s,shorter_or_equal_audio,188.5,66,90,100.5,1.5604040691008172,0.47476395122949744,0.5757575757575758,0.24242424242424243,0.06060606060606061
0.5,2-5s,<= 1s,longer_audio,188.5,41,51,299.0,3.2715226551517844,1.185255520308045,0.1951219512195122,0.0,0.0
0.5,2-5s,<= 2s,shorter_or_equal_audio,188.5,97,181,99.0,1.4695482607930899,0.43330181199411794,0.5463917525773195,0.25773195876288657,0.07216494845360824
0.5,2-5s,<= 2s,longer_audio,188.5,66,92,299.0,3.3727141725830734,1.2157133020419288,0.12121212121212122,0.0,0.0
0.75,2-5s,<= 1s,shorter_or_equal_audio,188.5,66,90,100.5,1.702810138463974,0.5587279842918607,0.6060606060606061,0.09090909090909091,0.030303030303030304
0.75,2-5s,<= 1s,longer_audio,188.5,41,51,299.0,3.6096492347617946,1.2836106027380467,0.12195121951219512,0.024390243902439025,0.0
0.75,2-5s,<= 2s,shorter_or_equal_audio,188.5,97,181,99.0,1.5228555165231228,0.45925352822038246,0.5670103092783505,0.1134020618556701,0.041237113402061855
0.75,2-5s,<= 2s,longer_audio,188.5,66,92,299.0,3.9450229513458908,1.3724513515544594,0.07575757575757576,0.015151515151515152,0.0
1.0,2-5s,<= 1s,shorter_or_equal_audio,188.5,66,90,100.5,1.774581098308166,0.5955105946654815,0.5303030303030303,0.15151515151515152,0.030303030303030304
1.0,2-5s,<= 1s,longer_audio,188.5,41,51,299.0,3.8483936302363873,1.3476558223316837,0.07317073170731707,0.024390243902439025,0.024390243902439025
1.0,2-5s,<= 2s,shorter_or_equal_audio,188.5,97,181,99.0,1.6320147439837456,0.5336530183039362,0.5051546391752577,0.15463917525773196,0.041237113402061855
1.0,2-5s,<= 2s,longer_audio,188.5,66,92,299.0,3.806339930742979,1.336614795432655,0.045454545454545456,0.015151515151515152,0.015151515151515152
1.5,2-5s,<= 1s,shorter_or_equal_audio,188.5,66,90,100.5,2.7206535687049227,1.0008035529867516,0.3787878787878788,0.045454545454545456,0.0
1.5,2-5s,<= 1s,longer_audio,188.5,41,51,299.0,5.600279755890369,1.7228165529023183,0.0,0.0,0.0
1.5,2-5s,<= 2s,shorter_or_equal_audio,188.5,97,181,99.0,2.3835609555244446,0.868595569291869,0.31958762886597936,0.05154639175257732,0.010309278350515464
1.5,2-5s,<= 2s,longer_audio,188.5,66,92,299.0,6.226063152154287,1.8278324915922917,0.0,0.0,0.0
