alpha,gt_bin,initial_center_condition,stage,N_proposals,median_width_gt_ratio,median_abs_log_width_gt_ratio,across_alpha_variance_median_width_gt_ratio,across_alpha_range_median_width_gt_ratio,across_alpha_variance_median_abs_log_width_gt_ratio,across_alpha_range_median_abs_log_width_gt_ratio
0.5,0-2s,<= 1s,initial,14,21.8707145601511,2.9566105975667596,261.5857535374776,43.74143350124359,0.16121373894283125,1.0986122941901342
0.75,0-2s,<= 1s,initial,14,32.80607508867979,3.362075772756094,261.5857535374776,43.74143350124359,0.16121373894283125,1.0986122941901342
1.0,0-2s,<= 1s,initial,14,43.741431310772896,3.6497577822682254,261.5857535374776,43.74143350124359,0.16121373894283125,1.0986122941901342
1.5,0-2s,<= 1s,initial,14,65.61214806139469,4.055222891756894,261.5857535374776,43.74143350124359,0.16121373894283125,1.0986122941901342
0.5,0-2s,<= 1s,decoder_layer1,14,17.166379652917385,2.836825397735106,59.62790263174207,20.95533151179552,0.08639999326848156,0.8037710685148096
0.75,0-2s,<= 1s,decoder_layer1,14,22.85647912323475,3.128869871233601,59.62790263174207,20.95533151179552,0.08639999326848156,0.8037710685148096
1.0,0-2s,<= 1s,decoder_layer1,14,28.259712487459183,3.3412979891518813,59.62790263174207,20.95533151179552,0.08639999326848156,0.8037710685148096
1.5,0-2s,<= 1s,decoder_layer1,14,38.121711164712906,3.6405964662499155,59.62790263174207,20.95533151179552,0.08639999326848156,0.8037710685148096
0.5,0-2s,<= 1s,decoder_layer2,14,10.316881723701954,2.3332974696449527,43.687289918307215,15.865550749003887,0.14309319248685137,0.9256927199786902
0.75,0-2s,<= 1s,decoder_layer2,14,10.765535842627287,2.3762504345917534,43.687289918307215,15.865550749003887,0.14309319248685137,0.9256927199786902
1.0,0-2s,<= 1s,decoder_layer2,14,11.830678744241595,2.46863752844697,43.687289918307215,15.865550749003887,0.14309319248685137,0.9256927199786902
1.5,0-2s,<= 1s,decoder_layer2,14,26.18243247270584,3.258990189623643,43.687289918307215,15.865550749003887,0.14309319248685137,0.9256927199786902
0.5,0-2s,<= 1s,final_span,14,6.48803024366498,1.8615560531496342,15.040566418395336,10.011952344328165,0.11627363999890164,0.9186073297721729
0.75,0-2s,<= 1s,final_span,14,8.043358098715544,2.0816337273770253,15.040566418395336,10.011952344328165,0.11627363999890164,0.9186073297721729
1.0,0-2s,<= 1s,final_span,14,8.66860345005989,2.159287568307536,15.040566418395336,10.011952344328165,0.11627363999890164,0.9186073297721729
1.5,0-2s,<= 1s,final_span,14,16.499982587993145,2.780163382921807,15.040566418395336,10.011952344328165,0.11627363999890164,0.9186073297721729
