variant,gt_bin,audio_duration_sec,N_proposals,median_final_abs_log_width_gt_ratio,median_final_width_gt_ratio,median_final_width_sec,N_audio_duration_strata,audio_duration_slope_abs_log_ratio_per_sec,audio_duration_slope_abs_log_ratio_per_100sec
baseline,0-2s,62.0,1,0.18850509699633622,1.2074432373046875,1.2074432373046875,,,
baseline,0-2s,67.0,1,0.8002910020329154,2.2261886596679688,2.2261886596679688,,,
baseline,0-2s,71.0,2,2.2035095187432194,12.406227111816406,12.406227111816406,,,
baseline,0-2s,110.0,1,1.2579462197985591,3.5181884765625,3.5181884765625,,,
baseline,0-2s,126.0,1,1.885078085818051,6.586868762969971,6.586868762969971,,,
baseline,0-2s,140.0,1,1.1881349251216344,3.280956268310547,3.280956268310547,,,
baseline,0-2s,147.0,1,1.5208494757779756,4.57611083984375,4.57611083984375,,,
baseline,0-2s,223.0,1,2.025617107011846,7.580787658691406,7.580787658691406,,,
baseline,0-2s,225.0,1,2.6987603576456176,14.861297607421875,14.861297607421875,,,
baseline,0-2s,300.0,5,2.6728252580507177,14.480823516845703,14.480823516845703,,,
baseline,2-5s,59.0,1,0.28888315153148447,0.7490997314453125,1.498199462890625,,,
baseline,2-5s,61.0,4,0.5487651209181934,1.7483854293823242,4.493535995483398,,,
baseline,2-5s,62.0,2,1.1883055505332998,1.5691115856170654,6.009779930114746,,,
baseline,2-5s,64.0,3,0.4740559144570133,0.9813232421875,2.1719436645507812,,,
baseline,2-5s,65.0,5,0.4953239803647696,0.6093734502792358,2.4374938011169434,,,
baseline,2-5s,68.0,1,0.5772410408049027,0.5614452362060547,1.684335708618164,,,
baseline,2-5s,69.0,2,0.7303561499427449,1.5742645263671875,3.7415809631347656,,,
baseline,2-5s,71.0,4,0.9369006428720154,2.5529619852701826,7.658885955810547,,,
baseline,2-5s,73.0,1,0.755202621729231,0.46991539001464844,1.8796615600585938,,,
baseline,2-5s,74.0,1,0.5949042198640672,0.5516153971354166,1.65484619140625,,,
