variant,gt_bin,N_queries,Oracle10_IoU>=0.5,Oracle10_IoU>=0.7,Center_Hit10<=2s,Top1_IoU=0,R1@0.5,R1@0.7,median_top1_width_gt_ratio
baseline,0-2s,90,0.03333333333333333,0.022222222222222223,0.4,0.8,0.03333333333333333,0.011111111111111112,6.0
baseline,2-5s,376,0.2712765957446808,0.06914893617021277,0.6462765957446809,0.6702127659574468,0.10638297872340426,0.031914893617021274,2.3333333333333335
baseline,5-10s,273,0.4725274725274725,0.21611721611721613,0.6373626373626373,0.4981684981684982,0.20146520146520147,0.08058608058608059,1.2857142857142858
baseline,10-20s,251,0.6613545816733067,0.3386454183266932,0.7211155378486056,0.4063745019920319,0.30677290836653387,0.1394422310756972,0.7272727272727273
baseline,20s+,357,0.6778711484593838,0.38935574229691877,0.5098039215686274,0.21568627450980393,0.35014005602240894,0.18487394957983194,0.4166666666666667
baseline,overall,1347,0.4766146993318486,0.23088344469190794,0.6057906458797327,0.47438752783964366,0.22271714922049,0.10096510764662213,1.0634920634920635
r1,0-2s,90,0.044444444444444446,0.0,0.5222222222222223,0.7777777777777778,0.022222222222222223,0.0,8.0
r1,2-5s,376,0.23404255319148937,0.09840425531914894,0.5930851063829787,0.6276595744680851,0.10638297872340426,0.05319148936170213,3.0
r1,5-10s,273,0.5238095238095238,0.2454212454212454,0.6593406593406593,0.5201465201465202,0.19413919413919414,0.0695970695970696,1.625
r1,10-20s,251,0.6693227091633466,0.350597609561753,0.6892430278884463,0.350597609561753,0.32669322709163345,0.1553784860557769,1.0
r1,20s+,357,0.6722689075630253,0.4425770308123249,0.5798319327731093,0.18487394957983194,0.3557422969187675,0.17366946778711484,0.475
r1,overall,1347,0.4773570898292502,0.25983667409057165,0.6161841128433556,0.44691907943578324,0.2256867112100965,0.10393466963622866,1.3333333333333333
