variant,gt_bin,stage,subset,N_proposals,median_abs_log_width_gt_ratio,median_width_gt_ratio,median_width_sec,median_nearest_gt_center_distance_sec,median_best_gt_iou,median_audio_duration_sec
baseline,0-2s,initial,all,900,4.492004105537737,89.3002815246582,89.3002815246582,41.786739349365234,0.003965818776435741,213.0
baseline,0-2s,initial,initial_center_le1s,15,3.7730912275568524,43.51436996459961,43.51436996459961,0.46197509765625,0.022980914139709097,147.0
baseline,0-2s,initial,initial_center_le2s,24,3.7929758740817747,44.39707374572754,44.39707374572754,0.6905937194824219,0.0225329141513508,143.5
baseline,0-2s,decoder_layer1,all,900,3.1283162033524095,22.835498809814453,22.835498809814453,46.605323791503906,0.0,213.0
baseline,0-2s,decoder_layer1,initial_center_le1s,15,3.0814995081347334,21.791053771972656,21.791053771972656,8.034713745117188,0.013591565332051381,147.0
baseline,0-2s,decoder_layer1,initial_center_le2s,24,2.960378835061672,19.447063446044922,19.447063446044922,7.939458847045898,0.016271489888418526,143.5
baseline,0-2s,decoder_layer2,all,900,2.671571266441057,14.462705612182617,14.462705612182617,45.59426498413086,0.0,213.0
baseline,0-2s,decoder_layer2,initial_center_le1s,15,2.739492405105202,15.4791259765625,15.4791259765625,12.844322204589844,0.0,147.0
baseline,0-2s,decoder_layer2,initial_center_le2s,24,2.8007751395789446,16.488311767578125,16.488311767578125,11.062055587768555,0.0,143.5
baseline,0-2s,final_span,all,900,1.907401920988027,6.73557186126709,6.73557186126709,46.3487663269043,0.0,213.0
baseline,0-2s,final_span,initial_center_le1s,15,1.9857886182383555,7.2847900390625,7.2847900390625,8.920074462890625,0.0,147.0
baseline,0-2s,final_span,initial_center_le2s,24,2.0057028626251006,7.432788848876953,7.432788848876953,8.095848083496094,0.0,143.5
baseline,2-5s,initial,all,3760,3.3560278314373355,28.67506217956543,78.82958221435547,26.79479217529297,0.012434364122943409,188.5
baseline,2-5s,initial,initial_center_le1s,134,3.073903780540309,21.626161893208824,60.84231758117676,0.4837989807128906,0.042897706143414496,119.5
baseline,2-5s,initial,initial_center_le2s,252,2.9799119216905847,19.68611399332682,57.36529731750488,0.9134101867675781,0.042897706143414496,122.0
baseline,2-5s,decoder_layer1,all,3760,2.032687196186132,7.634575366973877,20.795623779296875,28.829578399658203,0.0,188.5
baseline,2-5s,decoder_layer1,initial_center_le1s,134,1.8554127565061576,6.394953727722168,19.181381225585938,4.875286102294922,0.07608889934091202,119.5
baseline,2-5s,decoder_layer1,initial_center_le2s,252,1.8953950813900242,6.655204772949219,18.41152286529541,4.725951194763184,0.07548604067537554,122.0
baseline,2-5s,decoder_layer2,all,3760,1.5609661612768022,4.750849405924479,13.15965747833252,29.254724502563477,0.0,188.5
baseline,2-5s,decoder_layer2,initial_center_le1s,134,1.5497286130653871,4.71019172668457,13.317209243774414,5.119899272918701,0.08940796127012599,119.5
baseline,2-5s,decoder_layer2,initial_center_le2s,252,1.5497286130653871,4.71019172668457,12.87934160232544,5.07101583480835,0.07935497866102884,122.0
baseline,2-5s,final_span,all,3760,0.8781487808967894,2.3534291585286455,6.611606597900391,29.371845245361328,0.0,188.5
baseline,2-5s,final_span,initial_center_le1s,134,0.7293584641716634,2.015595515569051,5.706024169921875,4.908468246459961,0.0,119.5
baseline,2-5s,final_span,initial_center_le2s,252,0.7450275977801649,2.039931297302246,5.4169158935546875,4.144512176513672,0.045243779166419286,122.0
baseline,5-10s,initial,all,2730,2.672531951209238,14.476577758789062,92.96524810791016,28.133586883544922,0.029639235022987383,240.0
baseline,5-10s,initial,initial_center_le1s,116,2.2567289607171954,9.554007169935439,67.24376678466797,0.5620651245117188,0.09138301200226427,153.0
baseline,5-10s,initial,initial_center_le2s,214,2.332599629292211,10.304845767550999,70.10023880004883,0.9276695251464844,0.07890701910951332,153.0
baseline,5-10s,decoder_layer1,all,2730,1.4096013026263354,4.090331486293248,27.023239135742188,29.098426818847656,0.0,240.0
baseline,5-10s,decoder_layer1,initial_center_le1s,116,1.3157937508914546,3.7277145385742188,22.92130470275879,5.766197204589844,0.10421462578029761,153.0
baseline,5-10s,decoder_layer1,initial_center_le2s,214,1.2878952852174073,3.625186511448452,22.861066818237305,5.449298858642578,0.11352723447734459,153.0
baseline,5-10s,decoder_layer2,all,2730,0.9621460089280018,2.565294647216797,16.96424102783203,29.487945556640625,0.0,240.0
baseline,5-10s,decoder_layer2,initial_center_le1s,116,0.8288246653353362,2.2298717498779297,13.854190826416016,6.156505584716797,0.10585898373556685,153.0
baseline,5-10s,decoder_layer2,initial_center_le2s,214,0.8610948349951706,2.34550052218967,14.315841674804688,5.504982948303223,0.10717042110683216,153.0
baseline,5-10s,final_span,all,2730,0.48105723316081017,1.2556341262090773,8.266948699951172,28.40294647216797,0.0,240.0
baseline,5-10s,final_span,initial_center_le1s,116,0.378242786065633,0.950889523824056,6.290789604187012,4.657932281494141,0.05287802089347139,153.0
baseline,5-10s,final_span,initial_center_le2s,214,0.38312290941147376,1.0071754455566406,6.431347846984863,4.372442245483398,0.08804476930226929,153.0
baseline,10-20s,initial,all,2510,2.0071576361854992,7.44213936545632,93.24507904052734,24.71454620361328,0.06031819993969266,268.0
