duration_bin,family,level,condition,N_rows,N_queries,mean_effective_distractor_count,mean_center_hit10_2s_pct,delta_vs_full_center_pp,mean_oracle10_iou07_pct,delta_vs_full_oracle_pp
0-2s,RESTRICTED,0,GT_ONLY,90,90,0.0,24.444444444444443,-24.444444444444443,1.1111111111111112,0.0
0-2s,RANDOM,25,RANDOM_25,900,90,50.28888888888889,51.66666666666667,2.7777777777777857,0.7777777777777778,-0.33333333333333337
0-2s,RANDOM,50,RANDOM_50,900,90,100.11111111111111,49.22222222222222,0.3333333333333357,1.0,-0.11111111111111116
0-2s,RANDOM,100,RANDOM_100,90,90,199.77777777777777,48.888888888888886,0.0,1.1111111111111112,0.0
0-2s,HARD,25,HARD_25,90,90,50.28888888888889,33.33333333333333,-15.555555555555557,1.1111111111111112,0.0
0-2s,HARD,50,HARD_50,90,90,100.11111111111111,42.22222222222222,-6.666666666666664,2.2222222222222223,1.1111111111111112
0-2s,HARD,100,HARD_100,90,90,199.77777777777777,48.888888888888886,0.0,1.1111111111111112,0.0
0-2s,FULL,FULL,FULL_ACCESS,90,90,199.77777777777777,48.888888888888886,0.0,1.1111111111111112,0.0
2-5s,RESTRICTED,0,GT_ONLY,376,376,0.0,42.02127659574468,-22.07446808510639,1.8617021276595744,-6.382978723404255
2-5s,RANDOM,25,RANDOM_25,3760,376,47.22872340425532,70.69148936170212,6.595744680851055,7.659574468085106,-0.585106382978724
2-5s,RANDOM,50,RANDOM_50,3760,376,93.96542553191489,67.76595744680851,3.6702127659574444,8.962765957446809,0.7180851063829792
2-5s,RANDOM,100,RANDOM_100,376,376,187.45744680851064,64.09574468085107,0.0,8.24468085106383,0.0
2-5s,HARD,25,HARD_25,376,376,47.22872340425532,57.97872340425532,-6.11702127659575,6.117021276595745,-2.127659574468085
2-5s,HARD,50,HARD_50,376,376,93.96542553191489,60.37234042553191,-3.72340425531916,6.914893617021277,-1.329787234042553
2-5s,HARD,100,HARD_100,376,376,187.45744680851064,64.09574468085107,0.0,8.24468085106383,0.0
2-5s,FULL,FULL,FULL_ACCESS,376,376,187.45744680851064,64.09574468085107,0.0,8.24468085106383,0.0
