duration_bin,condition,metric,from_state,to_state,N_rows,pct_of_condition_rows
0-2s,GT_ONLY,CenterHit10<=2s,0,0,38,42.22222222222222
0-2s,GT_ONLY,CenterHit10<=2s,0,1,8,8.88888888888889
0-2s,GT_ONLY,CenterHit10<=2s,1,0,30,33.33333333333333
0-2s,GT_ONLY,CenterHit10<=2s,1,1,14,15.555555555555555
0-2s,GT_ONLY,Top1IoU>=0.7,0,0,90,100.0
0-2s,RANDOM_25,CenterHit10<=2s,0,0,342,38.0
0-2s,RANDOM_25,CenterHit10<=2s,0,1,118,13.111111111111112
0-2s,RANDOM_25,CenterHit10<=2s,1,0,93,10.333333333333334
0-2s,RANDOM_25,CenterHit10<=2s,1,1,347,38.55555555555556
0-2s,RANDOM_25,Top1IoU>=0.7,0,0,899,99.8888888888889
0-2s,RANDOM_25,Top1IoU>=0.7,0,1,1,0.1111111111111111
0-2s,RANDOM_50,CenterHit10<=2s,0,0,378,42.0
0-2s,RANDOM_50,CenterHit10<=2s,0,1,82,9.11111111111111
0-2s,RANDOM_50,CenterHit10<=2s,1,0,79,8.777777777777777
0-2s,RANDOM_50,CenterHit10<=2s,1,1,361,40.11111111111111
0-2s,RANDOM_50,Top1IoU>=0.7,0,0,900,100.0
0-2s,RANDOM_100,CenterHit10<=2s,0,0,46,51.11111111111111
0-2s,RANDOM_100,CenterHit10<=2s,1,1,44,48.888888888888886
0-2s,RANDOM_100,Top1IoU>=0.7,0,0,90,100.0
0-2s,HARD_25,CenterHit10<=2s,0,0,37,41.11111111111111
0-2s,HARD_25,CenterHit10<=2s,0,1,9,10.0
0-2s,HARD_25,CenterHit10<=2s,1,0,23,25.555555555555554
0-2s,HARD_25,CenterHit10<=2s,1,1,21,23.333333333333332
0-2s,HARD_25,Top1IoU>=0.7,0,0,90,100.0
0-2s,HARD_50,CenterHit10<=2s,0,0,36,40.0
0-2s,HARD_50,CenterHit10<=2s,0,1,10,11.11111111111111
0-2s,HARD_50,CenterHit10<=2s,1,0,16,17.77777777777778
0-2s,HARD_50,CenterHit10<=2s,1,1,28,31.11111111111111
0-2s,HARD_50,Top1IoU>=0.7,0,0,90,100.0
0-2s,HARD_100,CenterHit10<=2s,0,0,46,51.11111111111111
0-2s,HARD_100,CenterHit10<=2s,1,1,44,48.888888888888886
0-2s,HARD_100,Top1IoU>=0.7,0,0,90,100.0
2-5s,GT_ONLY,CenterHit10<=2s,0,0,100,26.595744680851062
2-5s,GT_ONLY,CenterHit10<=2s,0,1,35,9.308510638297872
2-5s,GT_ONLY,CenterHit10<=2s,1,0,118,31.382978723404253
2-5s,GT_ONLY,CenterHit10<=2s,1,1,123,32.71276595744681
2-5s,GT_ONLY,Top1IoU>=0.7,0,0,361,96.01063829787235
2-5s,GT_ONLY,Top1IoU>=0.7,0,1,1,0.26595744680851063
2-5s,GT_ONLY,Top1IoU>=0.7,1,0,14,3.723404255319149
2-5s,RANDOM_25,CenterHit10<=2s,0,0,862,22.925531914893618
2-5s,RANDOM_25,CenterHit10<=2s,0,1,488,12.978723404255318
2-5s,RANDOM_25,CenterHit10<=2s,1,0,240,6.382978723404255
2-5s,RANDOM_25,CenterHit10<=2s,1,1,2170,57.71276595744681
2-5s,RANDOM_25,Top1IoU>=0.7,0,0,3568,94.8936170212766
2-5s,RANDOM_25,Top1IoU>=0.7,0,1,52,1.3829787234042552
2-5s,RANDOM_25,Top1IoU>=0.7,1,0,93,2.473404255319149
2-5s,RANDOM_25,Top1IoU>=0.7,1,1,47,1.25
2-5s,RANDOM_50,CenterHit10<=2s,0,0,992,26.382978723404253
2-5s,RANDOM_50,CenterHit10<=2s,0,1,358,9.52127659574468
2-5s,RANDOM_50,CenterHit10<=2s,1,0,220,5.851063829787234
2-5s,RANDOM_50,CenterHit10<=2s,1,1,2190,58.24468085106383
2-5s,RANDOM_50,Top1IoU>=0.7,0,0,3571,94.97340425531915
2-5s,RANDOM_50,Top1IoU>=0.7,0,1,49,1.303191489361702
2-5s,RANDOM_50,Top1IoU>=0.7,1,0,68,1.8085106382978722
2-5s,RANDOM_50,Top1IoU>=0.7,1,1,72,1.9148936170212765
2-5s,RANDOM_100,CenterHit10<=2s,0,0,135,35.90425531914894
2-5s,RANDOM_100,CenterHit10<=2s,1,1,241,64.09574468085107
2-5s,RANDOM_100,Top1IoU>=0.7,0,0,362,96.27659574468085
2-5s,RANDOM_100,Top1IoU>=0.7,1,1,14,3.723404255319149
2-5s,HARD_25,CenterHit10<=2s,0,0,96,25.53191489361702
2-5s,HARD_25,CenterHit10<=2s,0,1,39,10.372340425531915
2-5s,HARD_25,CenterHit10<=2s,1,0,62,16.48936170212766
2-5s,HARD_25,CenterHit10<=2s,1,1,179,47.6063829787234
2-5s,HARD_25,Top1IoU>=0.7,0,0,359,95.47872340425532
2-5s,HARD_25,Top1IoU>=0.7,0,1,3,0.7978723404255319
2-5s,HARD_25,Top1IoU>=0.7,1,0,6,1.5957446808510638
2-5s,HARD_25,Top1IoU>=0.7,1,1,8,2.127659574468085
2-5s,HARD_50,CenterHit10<=2s,0,0,107,28.45744680851064
2-5s,HARD_50,CenterHit10<=2s,0,1,28,7.446808510638298
2-5s,HARD_50,CenterHit10<=2s,1,0,42,11.170212765957446
2-5s,HARD_50,CenterHit10<=2s,1,1,199,52.92553191489362
2-5s,HARD_50,Top1IoU>=0.7,0,0,359,95.47872340425532
2-5s,HARD_50,Top1IoU>=0.7,0,1,3,0.7978723404255319
2-5s,HARD_50,Top1IoU>=0.7,1,0,7,1.8617021276595744
2-5s,HARD_50,Top1IoU>=0.7,1,1,7,1.8617021276595744
2-5s,HARD_100,CenterHit10<=2s,0,0,135,35.90425531914894
2-5s,HARD_100,CenterHit10<=2s,1,1,241,64.09574468085107
2-5s,HARD_100,Top1IoU>=0.7,0,0,362,96.27659574468085
2-5s,HARD_100,Top1IoU>=0.7,1,1,14,3.723404255319149
