qid,vid,duration_sec,audio_duration_sec,gt_duration_sec,duration_bin,condition,replicate,random_seed,gt_token_count,valid_token_count,effective_accessible_tokens,effective_distractor_count,center_hit10_1s,center_hit10_2s,positive_overlap_candidate_top10,oracle10_iou05,oracle10_iou07,r1_iou05,r1_iou07,top1_iou07_success,final_center_error_sec,final_width_gt_ratio
--0w1YA1Hm4_1,--0w1YA1Hm4,299.0,299.0,1.0,0-2s,GT_ONLY,0,,3,299,3,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.5,12.0
--0w1YA1Hm4_2,--0w1YA1Hm4,299.0,299.0,4.0,2-5s,GT_ONLY,0,,4,299,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.0,2.0
--0w1YA1Hm4_3,--0w1YA1Hm4,299.0,299.0,2.0,2-5s,GT_ONLY,0,,4,299,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.5,1.0
-AheI8Epim4_1,-AheI8Epim4,83.0,83.0,11.0,10-20s,GT_ONLY,0,,11,83,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.3636363636363635
-AheI8Epim4_2,-AheI8Epim4,83.0,83.0,23.0,20s+,GT_ONLY,0,,50,83,50,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.391304347826087
-CcGuq0yoKo_1,-CcGuq0yoKo,299.0,299.0,5.0,5-10s,GT_ONLY,0,,8,299,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.6
-DmjkgWa-rw_1,-DmjkgWa-rw,158.0,158.0,47.0,20s+,GT_ONLY,0,,47,158,47,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,0.3617021276595745
-EaZ7EJJUl0_1,-EaZ7EJJUl0,299.0,299.0,35.0,20s+,GT_ONLY,0,,64,299,64,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.6285714285714286
-EaZ7EJJUl0_2,-EaZ7EJJUl0,299.0,299.0,184.0,20s+,GT_ONLY,0,,183,299,183,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,58.0,1.4130434782608696
-FW109cbv0g_1,-FW109cbv0g,96.0,96.0,3.0,2-5s,GT_ONLY,0,,16,96,16,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,2.0
-FW109cbv0g_2,-FW109cbv0g,96.0,96.0,5.0,5-10s,GT_ONLY,0,,25,96,25,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,1.0
-FW109cbv0g_3,-FW109cbv0g,96.0,96.0,3.0,2-5s,GT_ONLY,0,,4,96,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.6666666666666667
-FW109cbv0g_4,-FW109cbv0g,96.0,96.0,2.0,2-5s,GT_ONLY,0,,7,96,7,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0
-FW109cbv0g_5,-FW109cbv0g,96.0,96.0,3.0,2-5s,GT_ONLY,0,,4,96,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5,0.6666666666666666
-JP1GqPEKtw_1,-JP1GqPEKtw,299.0,299.0,65.0,20s+,GT_ONLY,0,,204,299,204,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,37.5,0.23076923076923078
-NrFeH-kBSM_1,-NrFeH-kBSM,300.0,300.0,5.0,5-10s,GT_ONLY,0,,5,300,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,36.6
-NrFeH-kBSM_2,-NrFeH-kBSM,300.0,300.0,1.0,0-2s,GT_ONLY,0,,2,300,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,7.0
-NrFeH-kBSM_3,-NrFeH-kBSM,300.0,300.0,11.0,10-20s,GT_ONLY,0,,11,300,11,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,73.0,7.545454545454546
-NrFeH-kBSM_4,-NrFeH-kBSM,300.0,300.0,4.0,2-5s,GT_ONLY,0,,4,300,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.25
-aYumc8KoXg_1,-aYumc8KoXg,74.0,74.0,5.0,5-10s,GT_ONLY,0,,19,74,19,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6
-mhFGevxLUg_1,-mhFGevxLUg,300.0,300.0,12.0,10-20s,GT_ONLY,0,,12,300,12,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,171.5,1.0833333333333333
-mhFGevxLUg_2,-mhFGevxLUg,300.0,300.0,7.0,5-10s,GT_ONLY,0,,7,300,7,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.14285714285714285
-mhFGevxLUg_3,-mhFGevxLUg,300.0,300.0,4.0,2-5s,GT_ONLY,0,,4,300,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0.75
-nQHwrRLfc0_1,-nQHwrRLfc0,165.0,165.0,8.0,5-10s,GT_ONLY,0,,8,165,8,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,7.5
-nQHwrRLfc0_2,-nQHwrRLfc0,165.0,165.0,1.0,0-2s,GT_ONLY,0,,1,165,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,103.0,21.0
