qid,vid,query,duration_bin,audio_duration_sec,gt_duration_sec,gt_width_norm,query_slot,initial_width_norm,initial_width_sec,pred_center_norm,pred_width_norm,pred_center_sec,pred_width_sec,center_error_sec,iou,width_gt_ratio,abs_log_width_gt_ratio,foreground_probability,center_le_1s,center_le_2s,initial_center_norm,initial_center_sec,initial_center_error_sec,initial_width_gt_ratio,initial_abs_log_width_gt_ratio,initial_logit_width,initial_raw_width_delta,layer1_center_norm,layer1_center_sec,layer1_center_error_sec,layer1_width_norm,layer1_width_sec,layer1_width_gt_ratio,layer1_abs_log_width_gt_ratio,layer1_logit_width,layer1_raw_width_delta,layer2_center_norm,layer2_center_sec,layer2_center_error_sec,layer2_width_norm,layer2_width_sec,layer2_width_gt_ratio,layer2_abs_log_width_gt_ratio,layer2_logit_width,layer2_raw_width_delta,log_width_initial_to_layer1,log_width_layer1_to_layer2
--0w1YA1Hm4_2,--0w1YA1Hm4,A phone beeps as a call is made,2-5s,299.0,4.0,0.013377926421404682,7,0.8412365913391113,251.5297408103943,0.24734185636043549,0.03500170260667801,73.95521505177021,10.465509079396725,0.044784948229789734,0.3822078763349156,2.616377269849181,0.9617906394999848,0.7791861891746521,1,1,0.27036458253860474,80.83901017904282,6.839010179042816,62.88243520259857,4.141266875147745,1.6674578436475704,0.0,0.24213926494121552,72.39964021742344,1.600359782576561,0.0390988253057003,11.69054876640439,2.9226371916010976,1.0724863564961957,-3.2017791271209717,-4.869236946105957,0.24734185636043549,73.95521505177021,0.044784948229789734,0.03500170260667801,10.465509079396725,2.616377269849181,0.9617906394999848,-3.3167295455932617,-1.7551442384719849,-3.068780518651549,-0.1106957169962111
-AheI8Epim4_2,-AheI8Epim4,Something metallic gets struck,20s+,83.0,23.0,0.27710843373493976,4,0.07413875311613083,6.153516508638859,0.16007961332798004,0.012934120371937752,13.286607906222343,1.0735319908708334,0.7866079062223434,0.21470639817416667,0.0466753039509058,3.0645400775047285,0.012079632841050625,1,1,0.5870380997657776,48.72416228055954,5.77583771944046,0.26754419602777646,1.3184705074977718,-2.5247858938815373,0.0,0.6131576895713806,50.89208823442459,3.607911765575409,0.02120072767138481,1.7596603967249393,0.07650697377064954,2.570373381903856,-3.8322911262512207,-1.3075050115585327,0.16007961332798004,13.286607906222343,0.7866079062223434,0.012934120371937752,1.0735319908708334,0.0466753039509058,3.0645400775047285,-4.33486795425415,-1.0108634233474731,-1.2519028744060843,-0.4941666956008721
-AheI8Epim4_2,-AheI8Epim4,Something metallic gets struck,20s+,83.0,23.0,0.27710843373493976,7,0.8412365913391113,69.82263708114624,0.2894260585308075,0.08192913234233856,24.022362858057022,6.800117984414101,0.022362858057022095,0.5882250880305337,0.2956573036701783,1.218554253248477,0.866191565990448,1,1,0.27036458253860474,22.440260350704193,1.5597396492958069,3.0357668296150537,1.1104640547443974,1.6674578436475704,0.0,0.2262663096189499,18.78010369837284,5.219896301627159,0.09888529777526855,8.20747971534729,0.35684694414553436,1.0304483170162306,-2.209671974182129,-3.8771297931671143,0.2894260585308075,24.022362858057022,0.022362858057022095,0.08192913234233856,6.800117984414101,0.2956573036701783,1.218554253248477,-2.4164199829101562,-1.9596514701843262,-2.140912371760628,-0.18810593623224633
-EaZ7EJJUl0_1,-EaZ7EJJUl0,A metal object bumps into things,20s+,299.0,35.0,0.11705685618729098,0,0.18933655321598053,56.61162941157818,0.5531782507896423,0.05555201694369316,165.40029698610306,16.610053066164255,0.5997030138969421,0.4816360289839479,0.47457294474755013,0.7453399430370286,0.057215526700019836,1,1,0.6764324307441711,202.25329679250717,12.753296792507172,1.6174751260450908,0.48086636925000215,-1.4543268461844807,0.0,0.7043362259864807,210.59653156995773,17.403468430042267,0.06971775740385056,20.845609463751316,0.5955888418214662,0.5182047126972256,-2.5910329818725586,-1.1367061138153076,0.5531782507896423,165.40029698610306,0.5997030138969421,0.05555201694369316,16.610053066164255,0.47457294474755013,0.7453399430370286,-2.8332808017730713,-0.8583741784095764,-0.9990710819472277,-0.22713523033980298
-FW109cbv0g_1,-FW109cbv0g,Someone sneezes,2-5s,96.0,3.0,0.03125,1,0.3227500021457672,30.984000205993652,0.3791496455669403,0.0438002310693264,36.39836597442627,4.2048221826553345,0.6016340255737305,0.475644370468243,1.4016073942184448,0.3376197167414715,0.9144749045372009,1,1,0.44674772024154663,42.88778114318848,1.1122188568115234,10.32800006866455,2.3348586601927295,-0.7411624414217115,0.0,0.3902660608291626,37.46554183959961,0.4655418395996094,0.05176734924316406,4.96966552734375,1.65655517578125,0.5047402508546169,-2.9078402519226074,-2.166677713394165,0.3791496455669403,36.39836597442627,0.6016340255737305,0.0438002310693264,4.2048221826553345,1.4016073942184448,0.3376197167414715,-3.0833277702331543,-1.6103352308273315,-1.8301184093381124,-0.16712053411314545
-FW109cbv0g_1,-FW109cbv0g,Someone sneezes,2-5s,96.0,3.0,0.03125,8,0.5322582125663757,51.09678840637207,0.5365047454833984,0.04772224277257919,51.50445556640625,4.5813353061676025,0.50445556640625,0.43655394472164233,1.5271117687225342,0.42337821853006413,0.8977137207984924,1,1,0.47813287377357483,45.900755882263184,1.9007558822631836,17.032262802124023,2.8351093573760857,0.12921232615624365,0.0,0.4968631863594055,47.69886589050293,3.3011341094970703,0.04942742735147476,4.745033025741577,1.5816776752471924,0.4584861034836964,-2.9565589427948,-3.085771322250366,0.5365047454833984,51.50445556640625,0.50445556640625,0.04772224277257919,4.5813353061676025,1.5271117687225342,0.42337821853006413,-2.9934592247009277,-1.6992181539535522,-2.3766232538923893,-0.03510788495363227
-FW109cbv0g_1,-FW109cbv0g,Someone sneezes,2-5s,96.0,3.0,0.03125,9,0.6701281666755676,64.33230400085449,0.06398570537567139,0.04033578559756279,6.142627716064453,3.872235417366028,0.6426277160644531,0.2582487613008354,1.2907451391220093,0.2552196788375528,0.9317745566368103,1,1,0.1608370691537857,15.440358638763428,0.059641361236572266,21.444101333618164,3.065449611453947,0.7087647924817356,0.0,0.07971342653036118,7.652488946914673,2.152488946914673,0.06559678167104721,6.297291040420532,2.0990970134735107,0.741507258671584,-2.656381368637085,-3.3651461601257324,0.06398570537567139,6.142627716064453,0.6426277160644531,0.04033578559756279,3.872235417366028,1.2907451391220093,0.2552196788375528,-3.169344425201416,-1.7645212411880493,-2.3239423527823635,-0.4862875798340312
-FW109cbv0g_2,-FW109cbv0g,A man speaks,5-10s,96.0,5.0,0.052083333333333336,1,0.3227500021457672,30.984000205993652,0.41787365078926086,0.04101977497339249,40.11587047576904,3.9378983974456787,0.884129524230957,0.5078851199658432,0.7875796794891358,0.23879073309706614,0.9680579900741577,1,1,0.44674772024154663,42.88778114318848,1.8877811431884766,6.19680004119873,1.8240330364267385,-0.7411624414217115,0.0,0.3971104919910431,38.12260723114014,2.8773927688598633,0.039521608501672745,3.7940744161605835,0.7588148832321167,0.2759974269437378,-3.1905839443206787,-2.4494214057922363,0.41787365078926086,40.11587047576904,0.884129524230957,0.04101977497339249,3.9378983974456787,0.7875796794891358,0.23879073309706614,-3.1518161296844482,-1.3033753633499146,-2.1000304633704765,0.03720669384667162
-FW109cbv0g_2,-FW109cbv0g,A man speaks,5-10s,96.0,5.0,0.052083333333333336,3,0.4910241663455963,47.138319969177246,0.8531305193901062,0.04231259226799011,81.9005298614502,4.062008857727051,0.09947013854980469,0.4923672178103338,0.8124017715454102,0.2077602686463178,0.9554729461669922,1,1,0.7619823217391968,73.15030288696289,0.15030288696289062,9.427663993835449,2.2436483452613913,-0.0359071921279591,0.0,0.852746844291687,81.86369705200195,0.13630294799804688,0.04056744650006294,3.8944748640060425,0.7788949728012085,0.24987906530583617,-3.1633760929107666,-3.1274688243865967,0.8531305193901062,81.9005298614502,0.09947013854980469,0.04231259226799011,4.062008857727051,0.8124017715454102,0.2077602686463178,-3.119436740875244,-1.3270108699798584,-2.4935274105672276,0.04211879665951834
-FW109cbv0g_2,-FW109cbv0g,A man speaks,5-10s,96.0,5.0,0.052083333333333336,5,0.4456096887588501,42.77853012084961,0.7548711895942688,0.038890641182661057,72.4676342010498,3.7335015535354614,0.5323657989501953,0.5356901480611648,0.7467003107070923,0.2920913648335738,0.943925142288208,1,1,0.6909807920455933,66.33415603637695,1.1658439636230469,8.555706024169922,2.1465984316034508,-0.2184255400548803,0.0,0.7410346865653992,71.13932991027832,1.8606700897216797,0.03706115111708641,3.5578705072402954,0.7115741014480591,0.34027571866999445,-3.257420539855957,-3.0389950275421143,0.7548711895942688,72.4676342010498,0.5323657989501953,0.038890641182661057,3.7335015535354614,0.7467003107070923,0.2920913648335738,-3.207334518432617,-1.366313099861145,-2.4868741502734455,0.04818435383642066
