query_slot,duration_bin,initial_width_norm,initial_width_sec_median,proposal_count,well_centered_proposal_count,well_centered_rate,matched_target_count,target_count,matched_rate,median_final_width_sec_centered,median_final_width_gt_ratio_centered
0,0-2s,0.18933655321598053,40.32868583500385,90,3,0.03333333333333333,90,828,0.10869565217391304,2.7217794209718704,2.7217794209718704
0,10-20s,0.18933655321598053,50.74219626188278,251,18,0.07171314741035857,51,421,0.12114014251781473,7.89029149338603,0.6895222626626492
0,2-5s,0.18933655321598053,35.68994028121233,376,26,0.06914893617021277,91,1007,0.0903674280039722,3.8301718570291996,1.6138677932322025
0,20s+,0.18933655321598053,56.61162941157818,357,14,0.0392156862745098,44,442,0.09954751131221719,15.035062223672867,0.5049473739628281
0,5-10s,0.18933655321598053,45.44077277183533,273,25,0.09157509157509157,60,595,0.10084033613445378,6.0121331084519625,1.0974860593676568
1,0-2s,0.3227500021457672,68.74575045704842,90,0,0.0,97,828,0.11714975845410629,,
1,10-20s,0.3227500021457672,86.49700057506561,251,21,0.08366533864541832,49,421,0.1163895486935867,9.232706725597382,0.7693922271331152
1,2-5s,0.3227500021457672,60.83837540447712,376,26,0.06914893617021277,100,1007,0.09930486593843098,3.9191394187510014,1.5438697040081024
1,20s+,0.3227500021457672,96.5022506415844,357,17,0.047619047619047616,35,442,0.07918552036199095,9.180029109120369,0.36124862120910123
1,5-10s,0.3227500021457672,77.46000051498413,273,18,0.06593406593406594,67,595,0.11260504201680673,5.226810837164521,0.8969064250588417
2,0-2s,0.5923634171485901,126.17340785264969,90,2,0.022222222222222223,30,828,0.036231884057971016,1.5084185376763344,1.5084185376763344
2,10-20s,0.5923634171485901,158.75339579582214,251,24,0.09561752988047809,10,421,0.023752969121140142,3.3206183491274714,0.23995424011214211
2,2-5s,0.5923634171485901,111.66050413250923,376,13,0.034574468085106384,39,1007,0.038728897715988087,2.33793780580163,0.7937730004390081
2,20s+,0.5923634171485901,177.11666172742844,357,12,0.03361344537815126,1,442,0.0022624434389140274,3.6145461765117943,0.07001140694885294
2,5-10s,0.5923634171485901,142.16722011566162,273,13,0.047619047619047616,22,595,0.03697478991596639,3.203255031257868,0.43796320632100105
3,0-2s,0.4910241663455963,104.58814743161201,90,3,0.03333333333333333,79,828,0.09541062801932366,12.164626717567444,12.164626717567444
3,10-20s,0.4910241663455963,131.5944765806198,251,21,0.08366533864541832,56,421,0.1330166270783848,9.562029726803303,0.6260404879084001
3,2-5s,0.4910241663455963,92.5580553561449,376,32,0.0851063829787234,112,1007,0.1112214498510427,4.802280161529779,1.6130020236596465
3,20s+,0.4910241663455963,146.8162257373333,357,15,0.04201680672268908,50,442,0.11312217194570136,11.629117727279663,0.259666614052726
3,5-10s,0.4910241663455963,117.84579992294312,273,18,0.06593406593406594,63,595,0.10588235294117647,4.9535650089383125,0.9669349290430546
4,0-2s,0.07413876056671143,15.791556000709534,90,4,0.044444444444444446,92,828,0.1111111111111111,3.590345812961459,3.590345812961459
4,10-20s,0.07413876056671143,19.869187831878662,251,18,0.07171314741035857,26,421,0.06175771971496437,5.4908929616212845,0.4704255366867239
4,2-5s,0.07413876056671143,13.975156366825104,376,29,0.07712765957446809,99,1007,0.09831181727904667,3.8769510220736265,1.7845339042445023
4,20s+,0.07413876056671143,22.167489409446716,357,13,0.036414565826330535,40,442,0.09049773755656108,13.834073323756456,0.20811276901513337
4,5-10s,0.07413876056671143,17.793302536010742,273,20,0.07326007326007326,66,595,0.11092436974789915,4.555915830656886,0.8181534053550826
