experiment,system,split,metric,value,source_file,classification
R31,A_QD_DETR,test,R1@0.5,38.75,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,test,R1@0.7,18.93,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,test,mAP,16.26,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,test,CandidateRecall@10@0.5,0.643652561247216,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,test,CandidateRecall@100@0.5,0.643652561247216,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,test,Oracle@10@0.7,0.37564959168522644,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,test,Top1-Oracle@10@0.7,0.18634001484780996,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,test,R1@0.5,41.13,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,test,R1@0.7,20.64,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,test,mAP,16.78,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,test,CandidateRecall@10@0.5,0.643652561247216,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,test,CandidateRecall@100@0.5,0.643652561247216,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,test,Oracle@10@0.7,0.37564959168522644,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,test,Top1-Oracle@10@0.7,0.1692650334075724,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,test,R1@0.5,40.98,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,test,R1@0.7,21.08,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,test,mAP,20.38,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,test,CandidateRecall@10@0.5,0.7668893838158871,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,test,CandidateRecall@100@0.5,0.8396436525612472,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,test,Oracle@10@0.7,0.5441722345953972,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,test,Top1-Oracle@10@0.7,0.33333333333333337,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,test,R1@0.5,47.51,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,test,R1@0.7,26.8,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,test,mAP,24.43,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,test,CandidateRecall@10@0.5,0.7928730512249443,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,test,CandidateRecall@100@0.5,0.8396436525612472,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,test,Oracle@10@0.7,0.5731254639940608,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,test,Top1-Oracle@10@0.7,0.30512249443207123,/private/research-artifact,EXACTLY_OBSERVED
