experiment,system,duration_bin,split,metric,value,source_file,classification
R31,A_QD_DETR,0-2s,test,R1@0.5,14.44,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,0-2s,test,R1@0.7,1.11,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,0-2s,test,mAP,2.34,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,0-2s,test,CandidateRecall@10@0.5,0.16666666666666666,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,0-2s,test,CandidateRecall@100@0.5,0.16666666666666666,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,0-2s,test,Oracle@10@0.7,0.011111111111111112,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,0-2s,test,Top1-Oracle@10@0.7,0.0,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,2-5s,test,R1@0.5,26.33,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,2-5s,test,R1@0.7,6.91,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,2-5s,test,mAP,9.38,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,2-5s,test,CandidateRecall@10@0.5,0.43882978723404253,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,2-5s,test,CandidateRecall@100@0.5,0.43882978723404253,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,2-5s,test,Oracle@10@0.7,0.14095744680851063,/private/research-artifact,EXACTLY_OBSERVED
R31,A_QD_DETR,2-5s,test,Top1-Oracle@10@0.7,0.07180851063829786,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,0-2s,test,R1@0.5,13.33,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,0-2s,test,R1@0.7,1.11,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,0-2s,test,mAP,2.29,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,0-2s,test,CandidateRecall@10@0.5,0.16666666666666666,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,0-2s,test,CandidateRecall@100@0.5,0.16666666666666666,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,0-2s,test,Oracle@10@0.7,0.011111111111111112,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,0-2s,test,Top1-Oracle@10@0.7,0.0,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,2-5s,test,R1@0.5,26.33,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,2-5s,test,R1@0.7,7.18,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,2-5s,test,mAP,9.7,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,2-5s,test,CandidateRecall@10@0.5,0.43882978723404253,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,2-5s,test,CandidateRecall@100@0.5,0.43882978723404253,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,2-5s,test,Oracle@10@0.7,0.14095744680851063,/private/research-artifact,EXACTLY_OBSERVED
R31,B_no_evidence_ranker,2-5s,test,Top1-Oracle@10@0.7,0.06914893617021275,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,0-2s,test,R1@0.5,17.78,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,0-2s,test,R1@0.7,5.56,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,0-2s,test,mAP,11.62,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,0-2s,test,CandidateRecall@10@0.5,0.5444444444444444,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,0-2s,test,CandidateRecall@100@0.5,0.7222222222222222,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,0-2s,test,Oracle@10@0.7,0.36666666666666664,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,0-2s,test,Top1-Oracle@10@0.7,0.3111111111111111,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,2-5s,test,R1@0.5,33.24,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,2-5s,test,R1@0.7,11.97,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,2-5s,test,mAP,18.43,/private/research-artifact,EXACTLY_OBSERVED
R31,C_evidence_candidate_generation,2-5s,test,CandidateRecall@10@0.5,0.7313829787234043,/private/research-artifact,EXACTLY_OBSERVED
